time (min),50nM MTM1,25nM MTM1,50nM MTM1 + 300nM Snx17,25nM MTM1 + 300nM Snx17
0.083333,0,0,-0.01281,0
0.166667,0,0.010867,0,0.011962
0.25,0,0.003026,0.033261,0.008348
0.333333,0,0.009837,0.049361,0.028861
0.416667,0,0.015734,0.076914,0.036344
0.5,-3.00E-15,0.021637,0.095505,0.042529
0.583333,0.018126,0.02249,0.100324,0.065255
0.666667,0.018855,0.020829,0.107107,0.078746
0.75,0.005663,0.024768,0.126246,0.088243
0.833333,0.027667,0.023883,0.134497,0.106937
0.916667,0.027672,0.011054,0.148999,0.127586
1,0.029203,0.01056,0.161034,0.139568
1.083333,0.038333,0.010182,0.154071,0.154542
1.166667,0.030601,0.021246,0.179875,0.158598
1.25,0.047245,0.032818,0.190835,0.17333
1.333333,0.0537,0.02139,0.200435,0.184324
1.416667,0.047295,0.023199,0.210852,0.183873
1.5,0.074106,0.03612,0.209313,0.181715
1.583333,0.070869,0.046583,0.219625,0.187186
1.666667,0.09275,0.04818,0.226643,0.190677
1.75,0.085427,0.033754,0.231238,0.194236
1.833333,0.078063,0.040902,0.223148,0.215235
1.916667,0.099159,0.038913,0.209212,0.211707
2,0.094894,0.055436,0.215377,0.222039
2.083333,0.126565,0.058025,0.245758,0.227125
2.166667,0.084306,0.058986,0.244855,0.237707
2.25,0.081252,0.081555,0.285201,0.240697
2.333333,0.070577,0.052671,0.288528,0.235911
2.416667,0.115057,0.075074,0.294105,0.246583
2.5,0.117811,0.073777,0.310242,0.266291
2.583333,0.105759,0.040679,0.293265,0.273546
2.666667,0.106043,0.058296,0.313112,0.268483
2.75,0.084453,0.068211,0.315679,0.282029
2.833333,0.081902,0.066706,0.302816,0.27574
2.916667,0.106884,0.047723,0.327431,0.279889
3,0.109138,0.049097,0.336242,0.286168
3.083333,0.126454,0.062788,0.340369,0.298207
3.166667,0.10708,0.077762,0.330394,0.299374
3.25,0.124107,0.074877,0.326221,0.309944
3.333333,0.095135,0.103511,0.339689,0.311889
3.416667,0.101433,0.074731,0.33532,0.30563
3.5,0.1101,0.089557,0.362095,0.305424
3.583333,0.110208,0.088479,0.375445,0.301107
3.666667,0.107854,0.096145,0.369012,0.310005
3.75,0.121578,0.122933,0.362755,0.309462
3.833333,0.116444,0.119626,0.377686,0.314125
3.916667,0.132105,0.097743,0.340368,0.326217
4,0.138342,0.090118,0.373263,0.328197
4.083333,0.126821,0.130262,0.36598,0.322172
4.166667,0.15531,0.119377,0.374134,0.330815
4.25,0.125085,0.120403,0.377169,0.339623
4.333333,0.135,0.123431,0.378288,0.328183
4.416667,0.140866,0.121411,0.387734,0.328148
4.5,0.160036,0.103291,0.382606,0.34882
4.583333,0.142471,0.090285,0.388319,0.361517
4.666667,0.160337,0.095286,0.391567,0.340217
4.75,0.148869,0.094193,0.405032,0.342653
4.833333,0.148347,0.089429,0.396852,0.345972
4.916667,0.143129,0.097926,0.385165,0.344438
5,0.150525,0.120802,0.421602,0.345906
5.083333,0.163043,0.093793,0.413631,0.354014
5.166667,0.163313,0.097712,0.41597,0.354973
5.25,0.208064,0.067698,0.406255,0.355758
5.333333,0.186363,0.06529,0.422933,0.356637
5.416667,0.177152,0.074992,0.426968,0.365968
5.5,0.181424,0.076821,0.419912,0.363433
5.583333,0.181938,0.090243,0.41111,0.36991
5.666667,0.18847,0.070033,0.451153,0.380225
5.75,0.191931,0.086771,0.457708,0.369904
5.833333,0.21668,0.090193,0.439385,0.370126
5.916667,0.191961,0.078462,0.452912,0.38297
6,0.208325,0.092666,0.475304,0.380784
6.083333,0.199542,0.085814,0.484952,0.388725
6.166667,0.209418,0.083584,0.483366,0.390986
6.25,0.209487,0.072322,0.495082,0.390191
6.333333,0.223356,0.072482,0.496153,0.393774
6.416667,0.201393,0.087283,0.508525,0.394422
6.5,0.22251,0.06208,0.50266,0.396919
6.583333,0.223217,0.091349,0.508268,0.395494
6.666667,0.230959,0.090407,0.518168,0.396565
6.75,0.226735,0.04223,0.52391,0.397295
6.833333,0.227288,0.067159,0.517627,0.40414
6.916667,0.208056,0.053192,0.52619,0.399091
7,0.234343,0.070553,0.530333,0.400609
7.083333,0.239661,0.067692,0.53098,0.407168
7.166667,0.225937,0.05915,0.533233,0.40751
7.25,0.2355,0.043491,0.532889,0.415648
7.333333,0.239932,0.055476,0.546847,0.416551
7.416667,0.248467,0.056367,0.547518,0.407986
7.5,0.253061,0.058121,0.540097,0.418057
7.583333,0.255838,0.067738,0.540296,0.411108
7.666667,0.23644,0.068737,0.543054,0.424303
7.75,0.252206,0.07824,0.547936,0.423273
7.833333,0.247394,0.070673,0.542526,0.429024
7.916667,0.233823,0.053104,0.561655,0.429319
8,0.24269,0.062516,0.547283,0.434969
8.083333,0.227537,0.069741,0.558841,0.424949
8.166667,0.238326,0.07505,0.550676,0.420049
8.25,0.238993,0.069417,0.554426,0.423126
8.333333,0.238524,0.09956,0.554762,0.442268
8.416667,0.246633,0.088605,0.565578,0.441013
8.5,0.26595,0.080135,0.549011,0.418664
8.583333,0.233775,0.079786,0.562472,0.421404
8.666667,0.256706,0.08859,0.546951,0.425968
8.75,0.255339,0.110546,0.578339,0.424668
8.833333,0.274948,0.115099,0.575187,0.431543
8.916667,0.265248,0.119973,0.581847,0.429038
9,0.259301,0.124667,0.584401,0.443554
9.083333,0.280313,0.097929,0.592598,0.441869
9.166667,0.285067,0.113718,0.585432,0.426598
9.25,0.272085,0.103047,0.591958,0.430526
9.333333,0.279333,0.115266,0.600923,0.430727
9.416667,0.279913,0.107884,0.590829,0.435391
